antecedents,consequents,support,confidence,lift
{'AMER'},{'NAMER'},0.2508505103061837,0.684038199181446,2.7268758526603
{'NAMER'},{'AMER'},0.2508505103061837,1.0,2.7268758526603
{'AMER'},{'United States'},0.20022013207924755,0.545975443383356,2.7268758526603
{'United States'},{'AMER'},0.20022013207924755,1.0,2.7268758526603
{'EMEA'},{'SMB'},0.21813087852711627,0.5167101208817255,0.9947988726819429
{'United States'},{'NAMER'},0.20022013207924755,1.0,3.9864379736737137
{'NAMER'},{'United States'},0.20022013207924755,0.7981651376146789,3.9864379736737137
"{'AMER', 'United States'}",{'NAMER'},0.20022013207924755,1.0,3.9864379736737137
"{'AMER', 'NAMER'}",{'United States'},0.20022013207924755,0.7981651376146789,3.9864379736737137
"{'United States', 'NAMER'}",{'AMER'},0.20022013207924755,1.0,2.7268758526603
{'AMER'},"{'United States', 'NAMER'}",0.20022013207924755,0.545975443383356,2.7268758526603
{'United States'},"{'AMER', 'NAMER'}",0.20022013207924755,1.0,3.9864379736737137
{'NAMER'},"{'AMER', 'United States'}",0.20022013207924755,0.7981651376146789,3.9864379736737137
